age,visitor_arrivals
15-19 Years,33162.39759036145
20-24 Years,60629.65060240964
25-34 Years,200620.26506024096
35-44 Years,186183.5060240964
45-54 Years,145752.0
55-64 Years,116621.60240963855
65 & Over,80926.92771084337
Under 15 Years,88627.24096385542
