DataSeries,2024Oct,2024Sep,2024Aug,2024Jul,2024Jun,2024May,2024Apr,2024Mar,2024Feb,2024Jan,2023Dec,2023Nov,2023Oct,2023Sep,2023Aug,2023Jul,2023Jun,2023May,2023Apr,2023Mar,2023Feb,2023Jan,2022Dec,2022Nov,2022Oct,2022Sep,2022Aug,2022Jul,2022Jun,2022May,2022Apr,2022Mar,2022Feb,2022Jan,2021Dec,2021Nov,2021Oct,2021Sep,2021Aug,2021Jul,2021Jun,2021May,2021Apr,2021Mar,2021Feb,2021Jan,2020Dec,2020Nov,2020Oct,2020Sep,2020Aug,2020Jul,2020Jun,2020May,2020Apr,2020Mar,2020Feb,2020Jan,2019Dec,2019Nov,2019Oct,2019Sep,2019Aug,2019Jul,2019Jun,2019May,2019Apr,2019Mar,2019Feb,2019Jan,2018Dec,2018Nov,2018Oct,2018Sep,2018Aug,2018Jul,2018Jun,2018May,2018Apr,2018Mar,2018Feb,2018Jan,2017Dec,2017Nov,2017Oct,2017Sep,2017Aug,2017Jul,2017Jun,2017May,2017Apr,2017Mar,2017Feb,2017Jan,2016Dec,2016Nov,2016Oct,2016Sep,2016Aug,2016Jul,2016Jun,2016May,2016Apr,2016Mar,2016Feb,2016Jan,2015Dec,2015Nov,2015Oct,2015Sep,2015Aug,2015Jul,2015Jun,2015May,2015Apr,2015Mar,2015Feb,2015Jan,2014Dec,2014Nov,2014Oct,2014Sep,2014Aug,2014Jul,2014Jun,2014May,2014Apr,2014Mar,2014Feb,2014Jan,2013Dec,2013Nov,2013Oct,2013Sep,2013Aug,2013Jul,2013Jun,2013May,2013Apr,2013Mar,2013Feb,2013Jan,2012Dec,2012Nov,2012Oct,2012Sep,2012Aug,2012Jul,2012Jun,2012May,2012Apr,2012Mar,2012Feb,2012Jan,2011Dec,2011Nov,2011Oct,2011Sep,2011Aug,2011Jul,2011Jun,2011May,2011Apr,2011Mar,2011Feb,2011Jan,2010Dec,2010Nov,2010Oct,2010Sep,2010Aug,2010Jul,2010Jun,2010May,2010Apr,2010Mar,2010Feb,2010Jan,2009Dec,2009Nov,2009Oct,2009Sep,2009Aug,2009Jul,2009Jun,2009May,2009Apr,2009Mar,2009Feb,2009Jan,2008Dec,2008Nov,2008Oct,2008Sep,2008Aug,2008Jul,2008Jun,2008May,2008Apr,2008Mar,2008Feb,2008Jan
Hotel Room Revenue,442741.7,510756.5,489661.8,492146.5,392165.7,435090.8,405035.2,484392.3,445472.1,422714.9,403258.2,400803.1,407017.3,489201,454352.5,479743,385038.3,398518.6,367816.1,362884.1,351487.7,320654,371353.5,389568.2,407770.5,386781,311521.3,316633.3,282461,231967.7,181792.1,154392.1,107563.2,102164.8,131882.5,101263.9,81555.6,77910.1,70278.6,70270.7,66144.3,69425.8,83131.9,81373,64460.5,68551.6,113156.2,75209.2,74360.3,65589.1,64049.2,37825.8,33441.7,38270.2,54612.1,121760.7,186474.1,369259.6,371830.3,368506.3,372207.6,375892.7,383423.8,377573.2,319771.6,306710.4,324915,331225.1,328912.2,334808.5,329307.6,329039.9,347408.2,345938.6,362218,362612.2,318090.4,308845.3,328990.2,338739.1,313245.2,310182.6,308692.4,312208.5,317483,327636.3,336563.9,333504.8,286297,290820.5,298252,310003.4,294313.2,299878.5,298052.6,286621,297339.9,316679.9,323993.8,326777.7,261839.5,282056.9,289765.2,291642.6,295203.3,291470.2,289347.2,286892.2,321753.5,302844.6,328260.1,306594.7,278802.6,277073.5,267758.5,293344.8,268063.7,286654.9,295745.6,294705.7,300834.1,302642.7,320136.6,303490.2,281334.2,288566.8,285931,300339.7,293485.1,274572.7,279971.6,282871.2,295958.1,289885.2,291755.8,278335.7,279590.1,270986.3,261385.8,281744.7,243203.5,264458.2,268803.5,275382.6,276371.8,273541.9,268563.2,276940.4,264327.5,254848.4,258644.6,266131.2,264886.8,241543.9,246644.7,262033.4,259687.7,264679.1,238108.2,263089.6,243800.9,235525.5,227818.4,242874.3,204522.6,220511.5,216222.3,223472.1,219421.6,217845.4,211057.5,201275.1,186661.4,181294,171834.9,177083.3,144638,150752.9,140046.4,159118.3,146802,147376.9,129430.4,132885.1,121273.2,114735.2,117186.9,134475.6,127432.3,127165,142719.4,164945.1,178412,194819.3,166743,180123.9,177628.7,180126.8,184276.3,187570.5,171955.1,176098.3
Standard Average Room Rate,275.2,315.8,277.9,274.5,264,275.4,272.8,294.4,289.5,273.4,279.6,269.9,270.5,317.8,280,285.3,263.6,266.8,265.9,259.5,267.5,266.2,287.3,281.5,284.4,283.7,249.7,258.5,241.5,223.4,207.2,192.3,193.1,184.9,223.8,174,159.5,154.5,151.7,151.3,144.9,139,155.9,150.6,152.4,150.8,186.6,154.6,143.5,125.7,121,83.4,64.9,64.5,88.7,170.6,224.3,231.1,233.6,224.5,223.6,235.4,225.1,218.7,210.6,206.5,215,214.8,224.1,215.9,222,218.6,219.4,229,217.7,216.3,212.9,207,219.8,220.1,224.3,214.1,221.2,216.2,217.9,229.1,220,215.4,210.5,208.9,214.1,214.6,218.4,218.2,217.2,215,218.6,239.1,224,218.7,211.9,218.3,224.7,223.3,238.1,226,232.3,227.8,237.1,246.4,233,225.7,227.6,224.1,228.5,233.7,234.3,236.7,242.9,238,237.8,255.7,239.6,234.8,236.4,238.8,245.2,245.4,257.3,238.1,241.9,238.9,242.3,254.9,238.3,230.3,241.2,236.2,236.3,238.9,238,237.9,243.3,241.5,244.3,261.7,238.4,238,244.3,238.5,245.6,239.6,251.2,234.5,236.1,241.5,238.4,256.3,226.4,233,237.4,230.5,226.5,228.2,221.7,220.7,212.6,215.9,212.8,231.5,211.7,200.8,208.3,199.8,199.6,192.4,189.7,180,173.2,192.4,178.4,199.4,170.2,171.6,175.5,180.6,185.2,196.4,202.6,205.2,212.5,229.9,236.3,298.6,230.5,236.6,245.1,244.2,251.6,237.2,254.3,235.9
Standard Average Hotel Occupancy Rate,81.8,83.3,88.1,89.8,77.7,79.3,78.4,83.6,83.3,78.4,74.2,78.7,78,82.9,86.7,90.7,81.6,80.9,79.2,80.3,85.2,71.7,78.2,85.8,84.4,82.8,77.1,79.1,78.1,72.8,66.4,60.6,62.7,57.5,74.3,78,64.4,65.1,56.1,56.1,54.6,52.9,52.7,51.4,44.2,44.3,62,54.2,57.6,63.1,64.8,66.4,57,59.3,40.4,40.2,49.1,83,83,88.8,86.9,87.1,92.4,93.9,86.1,82,85.4,84.3,88.5,84.7,80.7,84.9,86.4,85.3,91.5,92.4,85.5,82.6,85.2,87.2,88,83.4,79.6,85.2,83.1,84.3,89.4,91.5,83.8,82.3,85.1,84.7,88,81.8,79.6,81.5,80.5,80.3,87.2,90.5,79.8,83,85,83.4,84.3,82.7,80,82.9,86.6,81.4,90.7,89.9,83.8,82.5,80.8,83.2,83.7,81.2,81.1,85,84.8,82.6,89.4,88.2,83.5,81.6,81.7,85.5,87.8,80.2,80.8,85.3,85.8,82.6,89,87.7,87,83.7,83.4,87.2,84.9,83.8,82.9,88.3,85.8,82.6,87.7,90,86.5,83.6,84.7,87.2,88.5,81,82.3,87.7,85.7,83.9,83,92.8,87.9,84.4,85.7,86.6,82.9,82,83.2,87,84.6,80.4,82.3,87.4,87.9,85.7,84.7,87.2,79.5,80.7,79.9,84.2,81.7,76.7,77.3,78.9,75,67.9,69.8,72.9,74.4,66.3,72.7,79.8,81.1,73.8,79.8,84.4,81.4,81.1,83,86.3,79,84.2
Gross Lettings (Room-Nights),1595416,1602254,1745458,1776309,1475600,1567252,1472616,1631557,1525919,1534791,1429134,1472456,1491350,1524943,1605530,1661681,1446019,1479207,1369518,1385104,1299598,1193309,1292305,1383855,1430698,1357836,1245159,1220488,1163500,1035300,873546,799174,555599,552185,588766,579783,507708,504266,463347,464342,452894,499484,533251,539089,422936,454413,606305,486441,518190,521554,529518,447085,514964,593689,615760,713530,831421,1597859,1587373,1640436,1661171,1593343,1693776,1725297,1517318,1485293,1509500,1541773,1467338,1550957,1483662,1505190,1583262,1510715,1663784,1676452,1494124,1491761,1495282,1538947,1396835,1448484,1395744,1444128,1456452,1429542,1529795,1540486,1359593,1392052,1393170,1444293,1347347,1374330,1344107,1330693,1360435,1324049,1446341,1493918,1235834,1292030,1287304,1305892,1239794,1289788,1243309,1259304,1357081,1229213,1408604,1358614,1224995,1236380,1171392,1255330,1139015,1206938,1217475,1238208,1264826,1183472,1336287,1292656,1189990,1208510,1166186,1221204,1140438,1152949,1156600,1184077,1221198,1137335,1224045,1208741,1159161,1147036,1106136,1179190,1021872,1111834,1105045,1140291,1131439,1045397,1126294,1163585,1081840,1068702,1053022,1108491,1054454,1030023,1044875,1084958,1089395,1032771,1051400,1127938,1026884,1021540,1005640,1064069,921218,994050,1013836,1031973,1027801,938865,994352,997618,895331,906371,860399,918563,762314,835637,808403,826755,822554,739059,760550,774074,690753,635397,632178,684534,629067,619834,671735,717551,754850,652343,723528,761225,714293,730766,722829,779884,667755,745964
Available Room-Nights,1950641,1923455,1980724,1978513,1898387,1977380,1879480,1950931,1831324,1958855,1926510,1871496,1912067,1839073,1852618,1832770,1771901,1829414,1729584,1725943,1526145,1663478,1653139,1612464,1694491,1639052,1614058,1542167,1490270,1422659,1315682,1319142,886503,959793,792231,743198,788834,774563,826277,827875,828799,943499,1011827,1048233,957525,1025455,977156,898017,899779,826251,817726,673407,902667,1001913,1522885,1776618,1694775,1926285,1912817,1846820,1911073,1828671,1832265,1837350,1761383,1811517,1767049,1828569,1658376,1830834,1837453,1771864,1833163,1770305,1817814,1814618,1748319,1806810,1754243,1764808,1587414,1736362,1752510,1695540,1752029,1695038,1712016,1682909,1623300,1691872,1637708,1705750,1530594,1680781,1688321,1632444,1690949,1647855,1658092,1651550,1549090,1556056,1515327,1566272,1470105,1559839,1553306,1518158,1567755,1509870,1553284,1512036,1462047,1497890,1449362,1508222,1361242,1485768,1500726,1457179,1491828,1433528,1495172,1466191,1425946,1480270,1427965,1428323,1299191,1437661,1430856,1387511,1423322,1377181,1375002,1378966,1332600,1370627,1326088,1352033,1204171,1326755,1332988,1291686,1318609,1266141,1284335,1293178,1250524,1278977,1243938,1270625,1191532,1271372,1269619,1237216,1271547,1231051,1267432,1215300,1168526,1209670,1173176,1228152,1111868,1212155,1218247,1185688,1215498,1167836,1208017,1140884,1019067,1057275,1016131,1053995,958399,1035954,1011345,981592,1007103,963285,983279,981637,920686,936252,905951,938508,845470,935309,924389,899079,930784,883702,906200,901954,877230,900704,870588,903456,845049,886159
